organism	temperature
Aphanocladium album	24
Aphanocladium aranearum	26
Aphanomyces cochlioides	25
Aphanomyces euteiches	25
Aphanomyces frigidophilus	15
Aphanomyces salsuginosus	20
Aphanomyces sinensis	20
Aphanomyces sp.	24
Aphanothece halophytica	24
Aphanothece sp.	22
Aphysiostroma stercorarium	24
Apinisia graminicola	24
Apiognomonia errabunda	23
Apiognomonia supraseptata	24
Apiosordaria backusii	24
Apiosordaria longicaudata	24
Apiosordaria sacchari	24
Apiosordaria tetraspora	23
Apiosordaria verruculosa	24
Apiospora setosa	24
Apiospora tintinnabula	24
Apiotrichum curvatum	27
Apiotrichum futronensis	25
Apiotrichum humicola	25
Apiotrichum porosum	24
Apodus deciduus	24
Apophysomyces elegans	33
Aposphaeria fuscidula	25
Aquabacter spiritensis	30
Aquabacterium citratiphilum	27
Aquabacterium commune	27
Aquabacterium fontiphilum	25
Aquabacterium limnoticum	28
Aquabacterium parvum	25
Aquabacterium sp.	28
Aquamicrobium aerolatum	25
Aquamicrobium ahrensii	28
Aquamicrobium defluvii	30
Aquamicrobium lusatiense	30
Aquamicrobium segne	28
Aquamicrobium terrae	28
Aquamonas gracilis	30
Aquapoterium pinicola	25
Aquaspirillum anulus	30
Aquaspirillum aquaticum	30
Aquaspirillum arcticum	5
Aquaspirillum autotrophicum	29
Aquaspirillum bengal	30
Aquaspirillum delicatum	30
Aquaspirillum denitrificans	29
Aquaspirillum dispar	30
Aquaspirillum fasciculus	30
Aquaspirillum giesbergeri	30
Aquaspirillum gracile	30
Aquaspirillum itersonii	28
Aquaspirillum magnetotacticum	30
Aquaspirillum metamorphum	29
Aquaspirillum peregrinum	29
Aquaspirillum polymorphum	28
Aquaspirillum psychrophilum	20
Aquaspirillum putridiconchylium	28
Aquaspirillum serpens	29
Aquaspirillum sinuosum	28
Aquibacillus albus	28
Aquicella lusitana	37
Aquicella siphonis	37
Aquifex pyrophilus	85
Aquifex sp.	85
Aquiflexum balticum	30
Aquihabitans daechungensis	28
Aquimarina agarilytica	28
Aquimarina amphilecti	20
Aquimarina brevivitae	37
Aquimarina intermedia	28
Aquimarina latercula	26
Aquimarina megaterium	28
Aquimarina muelleri	28
Aquimarina pacifica	28
Aquimarina sp.	28
Aquimarina spongiae	28
Aquimonas voraii	35
Aquincola tertiaricarbonis	30
Aquipuribacter hungaricus	28
Aquisalibacillus elongatus	30
Aquisalimonas asiatica	37
Aquisalimonas halophila	37
Aquisphaera giovannonii	35
Aquitalea denitrificans	28
Aquitalea magnusonii	31
Arachnia propionica	37
Arachniotus albicans	24
Arachniotus aurantiacus	24
Arachniotus aureus	24
Arachniotus desertorum	24
Arachniotus flavoluteus	24
Arachniotus ruber	24
Arachniotus striatisporus	24
Arachniotus verruculosus	25
Arachnomyces minimus	25
Arachnotheca albicans	26
Arachnotheca glomerata	24
Arcanobacterium bernardiae	36
Arcanobacterium canis	37
Arcanobacterium haemolyticum	35
Arcanobacterium hippocoleae	37
Arcanobacterium phocae	37
Arcanobacterium phocisimile	30
Arcanobacterium pluranimalium	34
Arcanobacterium pyogenes	37
Archaeoglobus fulgidus	81
Archaeoglobus infectus	70
Archaeoglobus profundus	85
Archaeoglobus sulfaticallidus	75
Archaeoglobus veneficus	75
Archangium disciforme	28
Archangium flavum	29
Archangium gephyra	28
Archangium minus	28
Archangium thaxteri	32
Archangium violaceum	28
Arcicella aquatica	28
Arcicella aurantiaca	28
Arcobacter anaerophilus	30
Arcobacter butzleri	37
Arcobacter cibarius	30
Arcobacter cryaerophilus	32
Arcobacter defluvii	37
Arcobacter halophilus	26
Arcobacter marinus	30
Arcobacter mytili	34
Arcobacter nitrofigilis	28
Arcobacter skirrowii	36
Arcobacter thereius	28
Arcobacter trophiarum	30
Ardenticatena maritima	65
Arenariomyces trifurcatus	25
Arenibacter algicola	30
Arenibacter certesii	29
Arenibacter echinorum	28
Arenibacter latericius	29
Arenibacter palladensis	27
Arenibacter troitsensis	27
Arenicella chitinivorans	25
Arenicella xantha	28
Arenimonas composti	30
Arenimonas daechungensis	28
Arenimonas daejeonensis	30
Arenimonas donghaensis	28
Arenimonas malthae	29
Arenimonas metalli	28
Arenimonas oryziterrae	28
Arenimonas sp.	28
Arenimonas subflava	28
Arenimonas taoyuanensis	28
Arhodomonas aquaeolei	33
Arhodomonas recens	37
Aridibacter famidurans	28
Aridibacter kavangonensis	28
Arizona arizonae	34
Arizona hinshawii	34
Armatimonas rosea	30
Armillaria bulbosa	25
Armillaria fumosa	24
Armillaria gallica	22
Armillaria hinnulea	26
Armillaria limonea	24
Armillaria luteobubalina	24
Armillaria mellea	24
Armillaria nabsnona	25
Armillaria novae-zelandiae	24
Armillaria ostoyae	27
Armillaria pallidula	24
Armillaria sp.	25
Armillaria tabescens	25
Armillariella mellea	25
Armillariella tabescens	25
Arnium macrotheca	30
Arsenicicoccus bolidensis	31
Arsenicicoccus dermatophilus	37
Arsenicicoccus piscis	28
Arsenophonus nasoniae	28
Arthonia cinnabarina	21
Arthrinium arundinis	24
Arthrinium aureum	24
Arthrinium japonicum	24
Arthrinium phaeospermum	24
Arthrinium sacchari	24
Arthrinium saccharicola	24
Arthrinium serenense	24
Arthrinium sp.	24
Arthroascus fermentans	24
Arthroascus javanensis	24
Arthrobacter agilis	25
Arthrobacter albus	30
Arthrobacter alkaliphilus	28
Arthrobacter alpinus	20
Arthrobacter antarcticus	25
Arthrobacter ardleyensis	25
Arthrobacter arilaitensis	28
Arthrobacter atrocyaneus	29
Arthrobacter aurescens	29
Arthrobacter bergerei	28
Arthrobacter castelli	29
Arthrobacter chlorophenolicus	27
Arthrobacter citreus	30
Arthrobacter creatinolyticus	37
Arthrobacter cryoconiti	20
Arthrobacter crystallopoietes	30
Arthrobacter cumminsii	31
Arthrobacter cupressi	29
Arthrobacter defluvii	28
Arthrobacter deserti	28
Arthrobacter duodecadis	27
Arthrobacter echini	20
Arthrobacter enclensis	28
Arthrobacter equi	28
Arthrobacter flavescens	26
Arthrobacter flavus	23
Arthrobacter gandavensis	29
Arthrobacter gangotriensis	22
Arthrobacter globiformis	28
Arthrobacter halodurans	28
Arthrobacter histidinolovorans	29
Arthrobacter humicola	28
Arthrobacter hydrocarboglutamicus	30
Arthrobacter ilicis	29
Arthrobacter kerguelensis	22
Arthrobacter koreensis	29
Arthrobacter livingstonensis	16
Arthrobacter luteolus	30
Arthrobacter luteus	29
Arthrobacter marinus	26
Arthrobacter methylotrophus	25
Arthrobacter monumenti	29
Arthrobacter mysorens	28
Arthrobacter nasiphocae	30
Arthrobacter nicotianae	29
Arthrobacter nicotinovorans	30
Arthrobacter niigatensis	28
Arthrobacter nitroguajacolicus	28
Arthrobacter oryzae	28
Arthrobacter oxamicetus	26
Arthrobacter oxydans	29
Arthrobacter paraffineus	29
Arthrobacter parietis	27
Arthrobacter pascens	29
Arthrobacter phenanthrenivorans	29
Arthrobacter picolinophilus	28
Arthrobacter pigmenti	27
Arthrobacter pityocampae	28
Arthrobacter polychromogenes	30
Arthrobacter protophormiae	30
Arthrobacter psychrochitiniphilus	20
Arthrobacter psychrolactophilus	27
Arthrobacter psychrophenolicus	25
Arthrobacter radiotolerans	37
Arthrobacter ramosus	28
Arthrobacter rhombi	30
Arthrobacter roseus	22
Arthrobacter russicus	29
Arthrobacter sanguinis	35
Arthrobacter scleromae	34
Arthrobacter siccitolerans	28
Arthrobacter siderocapsulatus	28
Arthrobacter simplex	28
Arthrobacter soli	28
Arthrobacter sp.	29
Arthrobacter stackebrandtii	29
Arthrobacter subterraneus	28
Arthrobacter sulfonivorans	27
Arthrobacter sulfureus	30
Arthrobacter tecti	28
Arthrobacter terregens	25
Arthrobacter tumbae	29
Arthrobacter tumescens	27
Arthrobacter uratoxydans	30
Arthrobacter ureafaciens	29
Arthrobacter variabilis	30
Arthrobacter viscosus	28
Arthrobacter woluwensis	34
Arthrobotrys amerospora	23
Arthrobotrys anchonia	25
Arthrobotrys botryospora	24
Arthrobotrys brochopaga	25
Arthrobotrys cladodes	24
Arthrobotrys conoides	24
Arthrobotrys cylindrospora	24
Arthrobotrys dactyloides	25
Arthrobotrys entomopaga	30
Arthrobotrys flagrans	24
Arthrobotrys javanica	25
Arthrobotrys musiformis	24
Arthrobotrys oligospora	24
Arthrobotrys oviformis	24
Arthrobotrys polycephala	26
Arthrobotrys robusta	24
Arthrobotrys sp.	25
Arthrobotrys superba	24
Arthrobotryum hyalospora	25
Arthrobotryum hyalosporum	25
Arthrocladia villosa	10
Arthroderma benhamiae	25
Arthroderma borellii	25
Arthroderma ciferrii	25
Arthroderma cuniculi	24
Arthroderma curreyi	25
Arthroderma flavescens	24
Arthroderma gertleri	25
Arthroderma gloriae	24
Arthroderma insingulare	25
Arthroderma multifidum	24
Arthroderma persicolor	26
Arthroderma quadrifidum	24
Arthroderma tuberculatum	25
Arthroderma uncinatum	24
Arthroderma vanbreuseghemii	25
Arthrographis cuboidea	24
Arthrographis kalrae	24
Arthropsis truncata	24
Arthrospira platensis	22
Arthrospira sp.	22
Articulospora tetracladia	18
Asaccharobacter celatus	37
Asaccharospora irregularis	37
Asaia astilbis	28
Asaia bogorensis	30
Asaia platycodi	28
Asaia prunellae	28
Asaia siamensis	30
Asanoa ferruginea	29
Asanoa hainanensis	28
Asanoa iriomotensis	28
Asanoa ishikariensis	29
Asanoa siamensis	28
Ascobolus crenulatus	24
Ascobolus immersus	24
Ascobolus stercorarius	24
Ascocalvatia alveolata	24
Ascocalyx abietina	18
Ascocalyx abietis	20
Ascochyta caulina	26
Ascochyta chrysanthemi	25
Ascochyta fabae	23
Ascochyta lentis	24
Ascochyta pinodes	22
Ascochyta pisi	22
Ascochyta rabiei	24
Ascochyta sp.	25
Ascocoryne cylichnium	22
Ascocoryne sarcoides	21
Ascocoryne solitaria	24
Ascocoryne sp.	24
Ascocratera manglicola	24
Ascodesmis nigricans	24
Ascodesmis sphaerospora	23
Ascodichaena rugosa	20
Ascoidea africana	24
Ascoidea asiatica	24
Ascoidea hylecoeti	25
Ascoidea rubescens	23
Ascosphaera acerosa	30
Ascosphaera apis	26
Ascosphaera colubrina	25
Ascosphaera larvis	25
Ascosphaera major	25
Ascosphaera osmophila	20
Ascosphaera pollenicola	26
Ascosphaera proliperda	25
Ascotricha chartarum	25
Ascotricha erinacea	25
Ascotricha guamensis	24
Ascotricha lusitanica	24
Ascotricha xylina	24
Ascovaginospora stellipala	24
Ascovirgaria occulta	20
Asparagopsis taxiformis	15
Aspergillus acolumnaris	26
Aspergillus aculeatinus	24
Aspergillus aculeatus	25
Aspergillus aeneus	24
Aspergillus affinis	20
Aspergillus allahabadii	26
Aspergillus alliaceus	25
Aspergillus ambiguus	24
Aspergillus amstelodami	28
Aspergillus amylovorus	24
Aspergillus anomalus	24
Aspergillus anthodesmis	26
Aspergillus arenarius	24
Aspergillus asperescens	24
Aspergillus athecius	24
Aspergillus aurantiobrunneus	24
Aspergillus auratus	24
Aspergillus aureofulgens	24
Aspergillus aureolatus	24
Aspergillus aureolus	24
Aspergillus aureus	24
Aspergillus auricomus	24
Aspergillus avenaceus	25
Aspergillus awamori	25
Aspergillus bicolor	24
Aspergillus biplanus	24
Aspergillus bisporus	25
Aspergillus brasiliensis	26
Aspergillus brevipes	24
Aspergillus bridgeri	24
Aspergillus brunneo-uniseriatus	25
Aspergillus caelatus	25
Aspergillus caesiellus	24
Aspergillus caespitosus	25
Aspergillus campestris	26
Aspergillus candidus	25
Aspergillus carbonarius	27
Aspergillus carneus	24
Aspergillus cervinus	25
Aspergillus chevalieri	25
Aspergillus chrysellus	24
Aspergillus citrisporus	24
Aspergillus clavato-flavus	24
Aspergillus clavatonanicus	24
Aspergillus clavatus	24
Aspergillus conicus	26
Aspergillus conjunctus	24
Aspergillus coremiiformis	26
Aspergillus cremeus	24
Aspergillus cristatus	25
Aspergillus crustosus	24
Aspergillus crystallinus	24
Aspergillus deflectus	24
Aspergillus diversus	24
Aspergillus duricaulis	24
Aspergillus echinulatus	24
Aspergillus egyptiacus	24
Aspergillus elegans	24
Aspergillus ellipticus	24
Aspergillus fasciculatus	24
Aspergillus ficuum	26
Aspergillus fijiensis	24
Aspergillus fischeri	25
Aspergillus flaschentraegeri	26
Aspergillus flavipes	25
Aspergillus flavofurcatus	24
Aspergillus flavus	25
Aspergillus foetidus	25
Aspergillus fresenii	25
Aspergillus fruticulosus	24
Aspergillus fumigatus	26
Aspergillus funiculosus	24
Aspergillus giganteus	25
Aspergillus glaucus	26
Aspergillus gracilis	24
Aspergillus granulosus	24
Aspergillus halophilicus	24
Aspergillus heteromorphus	24
Aspergillus heterothallicus	24
Aspergillus iizukae	24
Aspergillus indicus	26
Aspergillus insuetus	26
Aspergillus insulicola	24
Aspergillus intermedius	24
Aspergillus inuii	24
Aspergillus itaconicus	24
Aspergillus ivoriensis	26
Aspergillus janus	25
Aspergillus japonicus	25
Aspergillus kanagawaensis	24
Aspergillus lentulus	25
Aspergillus leporis	25
Aspergillus longivesica	24
Aspergillus luchuensis	26
Aspergillus lucknowensis	24
Aspergillus malodoratus	24
Aspergillus medius	26
Aspergillus melleus	25
Aspergillus mellinus	24
Aspergillus microcysticus	25
Aspergillus montevidensis	25
Aspergillus multicolor	24
Aspergillus navahoensis	24
Aspergillus nidulans	31
Aspergillus niger	26
Aspergillus niveus	24
Aspergillus nomius	25
Aspergillus nutans	24
Aspergillus ochraceopetaliformis	24
Aspergillus ochraceoroseus	25
Aspergillus ochraceus	25
Aspergillus ornatus	24
Aspergillus oryzae	25
Aspergillus ostianus	24
Aspergillus pachycristatus	24
Aspergillus pallidus	24
Aspergillus panamensis	24
Aspergillus paradoxus	24
Aspergillus parasiticus	24
Aspergillus parvathecius	24
Aspergillus parvulus	24
Aspergillus penicilliformis	24
Aspergillus penicillioides	26
Aspergillus petrakii	25
Aspergillus peyronelii	24
Aspergillus phialiseptus	25
Aspergillus phoenicis	24
Aspergillus proliferans	24
Aspergillus protuberus	24
Aspergillus pseudoglaucus	26
Aspergillus pulverulentus	31
Aspergillus pulvinus	24
Aspergillus puniceus	24
Aspergillus quadricinctus	24
Aspergillus quadrilineatus	24
Aspergillus raperi	24
Aspergillus recurvatus	24
Aspergillus repens	24
Aspergillus restrictus	26
Aspergillus robustus	24
Aspergillus ruber	25
Aspergillus rugulosus	24
Aspergillus saitoi	24
Aspergillus sclerotiorum	24
Aspergillus sepultus	24
Aspergillus silvaticus	24
Aspergillus sojae	26
Aspergillus sp.	25
Aspergillus sparsus	24
Aspergillus spectabilis	24
Aspergillus spelunceus	24
Aspergillus speluneus	24
Aspergillus stramenius	24
Aspergillus striatus	24
Aspergillus stromatoides	25
Aspergillus subolivaceus	24
Aspergillus subsessilis	24
Aspergillus sulphureus	25
Aspergillus sydowii	25
Aspergillus tamarii	25
Aspergillus tanneri	30
Aspergillus tardus	24
Aspergillus terreus	26
Aspergillus terricola	24
Aspergillus thermomutatus	24
Aspergillus thomii	24
Aspergillus tonophilus	26
Aspergillus toxicarius	24
Aspergillus tubingensis	25
Aspergillus unguis	24
Aspergillus unilateralis	24
Aspergillus ustus	25
Aspergillus varians	24
Aspergillus variecolor	25
Aspergillus versicolor	24
Aspergillus violaceus	24
Aspergillus viridinutans	24
Aspergillus vitis	24
Aspergillus wentii	24
Aspergillus westerdijkiae	24
Aspergillus zonatus	24
Asperococcus bullosus	10
Aspromonas composti	30
Astasia longa	25
Asterionellopsis glacialis	15
Asterococcus superbus	20
Asteromyces cruciatus	25
Asteronema rhodochortonoides	10
Asterophora lycoperdoides	23
Asticcacaulis benevestitus	18
Asticcacaulis biprosthecium	30
Asticcacaulis excentricus	30
Asticcacaulis taihuensis	30
Astraeus hygrometricus	24
Astrephomene gubernaculifera	20
Astrephomene perforata	20
Astrosporangium hypotensionis	28
Athalassotoga saccharophila	55
Athelia arachnoidea	23
Athelia decipiens	24
Athelia epiphylla	25
Athelia rolfsii	26
Athelopsis subinconspicua	24
Atkinsiella dubia	20
Atkinsonella hypoxylon	24
Atopobacter phocae	37
Atopobium deltae	37
Atopobium fossor	37
Atopobium minutum	37
Atopobium parvulum	37
Atopobium rimae	37
Atopobium vaginae	37
Atopococcus tabaci	29
Atopostipes suicloacalis	30
Atricordyceps harposporifera	24
Aulacoseira granulata	15
Aulographina pinorum	22
Aulosira laxa	20
Aurantimonas altamirensis	28
Aurantimonas coralicida	27
Aurantimonas frigidaquae	28
Aurantimonas manganoxydans	28
Aurantimonas sp.	27
Aurantimonas ureilytica	28
Aurantiochytrium sp.	25
Aurantiporus fissilis	26
Auraticoccus monumenti	28
Aurearena cruciata	25
Aureimonas altamirensis	31
Aureimonas frigidaquae	28
Aureimonas jatrophae	28
Aureimonas phyllosphaerae	28
Aureimonas sp.	28
Aureimonas ureilytica	29
Aureispira maritima	30
Aureobacterium arabinogalactanolyticum	30
Aureobacterium barkeri	32
Aureobacterium esteraromaticum	30
Aureobacterium flavescens	27
Aureobacterium keratanolyticum	30
Aureobacterium liquefaciens	29
Aureobacterium luteolum	30
Aureobacterium resistens	30
Aureobacterium saperdae	30
Aureobacterium schleiferi	30
Aureobacterium sp.	37
Aureobacterium terrae	30
Aureobacterium terregens	24
Aureobacterium testaceum	30
Aureobacterium trichothecenolyticum	30
Aureobasidium mansonii	26
Aureobasidium pullulans	25
Aureobasidium sp.	24
Auricularia auricula	24
Auricularia auricula-judae	24
Auricularia cornea	24
Auricularia fuscosuccinea	27
Auricularia mesenterica	28
Auricularia polytricha	25
Auricularia sp.	26
Auriscalpium vulgare	24
Auritidibacter ignavus	37
Austwickia chelonae	35
Auxarthron californiense	26
Auxarthron compactum	26
Auxarthron conjugatum	26
Auxarthron pseudauxarthron	24
Auxarthron reticulatum	25
Auxarthron thaxteri	24
Auxarthron umbrinum	26
Auxarthron zuffianum	25
Auxenochlorella protothecoides	21
Avibacterium avium	36
Avibacterium endocarditidis	37
Avibacterium gallinarum	37
Avibacterium paragallinarum	37
Avibacterium volantium	37
Azoarcus anaerobius	28
Azoarcus buckelii	28
Azoarcus communis	31
Azoarcus evansii	32
Azoarcus indigens	31
Azoarcus olearius	37
Azoarcus sp.	29
Azoarcus toluclasticus	30
Azoarcus tolulyticus	30
Azoarcus toluvorans	30
Azohydromonas australica	30
Azohydromonas lata	31
Azomonas agilis	26
Azomonas insignis	29
Azomonas macrocytogenes	27
Azomonotrichon macrocytogenes	28
Azonexus fungiphilus	28
Azonexus hydrophilus	28
Azorhizobium caulinodans	30
Azorhizobium doebereinerae	28
Azorhizobium oxalatiphilum	30
Azorhizophilus paspali	30
Azospira oryzae	33
Azospira restricta	37
Azospirillum amazonense	30
Azospirillum brasilense	30
Azospirillum canadense	30
Azospirillum doebereinerae	30
Azospirillum halopraeferens	40
Azospirillum irakense	29
Azospirillum lipoferum	30
Azospirillum oryzae	30
Azospirillum picis	37
Azospirillum rugosum	28
Azospirillum sp.	31
Azospirillum thiophilum	28
Azotobacter armeniacus	30
Azotobacter beijerinckii	30
Azotobacter chroococcum	28
Azotobacter indicum	30
Azotobacter indicus	26
Azotobacter macrocytogenes	27
Azotobacter miscellum	30
Azotobacter nigricans	28
Azotobacter paspali	31
Azotobacter salinestris	29
Azotobacter sp.	30
Azotobacter vinelandii	29
Azovibrio restrictus	28
Babesia duncani	25
Babesia microti	25
Babjeviella inositovora	24
Bacidia incompta	18
Bacillus abyssalis	28
Bacillus acidiceler	30
Bacillus acidicola	34
Bacillus acidiproducens	30
Bacillus acidocaldarius	56
Bacillus acidogenesis	30
Bacillus acidophilus	37
Bacillus acidoterrestris	48
Bacillus acidovorans	30
Bacillus agaradhaerens	30
Bacillus agri	34
Bacillus aidingensis	30
Bacillus akibai	34
Bacillus alcalophilus	32
Bacillus algicola	30
Bacillus alginolyticus	30
Bacillus alkalinitrilicus	28
Bacillus alkalisediminis	25
Bacillus alkalitelluris	30
Bacillus altitudinis	25
Bacillus alveayuensis	55
Bacillus alvei	32
Bacillus aminoglucosidicus	37
Bacillus aminovorans	28
Bacillus amyloliquefaciens	31
Bacillus amylolyticus	30
Bacillus andreesenii	37
Bacillus aneurinilyticus	30
Bacillus aneurinolyticus	30
Bacillus anthracis	37
Bacillus apiarius	30
Bacillus aporrhoeus	30
Bacillus aquimaris	30
Bacillus arenosi	30
Bacillus arseniciselenatis	30
Bacillus arsenicus	30
Bacillus arvi	30
Bacillus aryabhattai	29
Bacillus asahii	30
Bacillus atrophaeus	29
Bacillus aurantiacus	22
Bacillus axarquiensis	29
Bacillus azotofixans	30
Bacillus azotoformans	30
Bacillus badius	30
Bacillus barbaricus	25
Bacillus bataviensis	30
Bacillus beijingensis	30
Bacillus benzoevorans	31
Bacillus beringensis	30
Bacillus beveridgei	30
Bacillus bifermentans	37
Bacillus bingmayongensis	30
Bacillus bogoriensis	37
Bacillus boroniphilus	30
Bacillus borstelensis	35
Bacillus brevis	32
Bacillus butanolivorans	30
Bacillus carboniphilus	30
Bacillus cecembensis	22
Bacillus cellulosilyticus	32
Bacillus centrosporogenes	37
Bacillus centrosporus	30
Bacillus cereus	30
Bacillus chagannorensis	34
Bacillus chitinolyticus	30
Bacillus chondroitinus	30
Bacillus choshinensis	30
Bacillus chungangensis	30
Bacillus circulans	32
Bacillus clarkii	30
Bacillus clausii	31
Bacillus cloacae	30
Bacillus coagulans	37
Bacillus coahuilensis	30
Bacillus cohnii	31
Bacillus crassostreae	30
Bacillus cucumis	30
Bacillus curdlanolyticus	30
Bacillus cycloheptanicus	45
Bacillus cytotoxicus	35
Bacillus daliensis	30
Bacillus decisifrondis	30
Bacillus decolorationis	29
Bacillus dipsosauri	30
Bacillus drentensis	30
Bacillus ectoiniformans	30
Bacillus ehimensis	30
Bacillus eiseniae	30
Bacillus encimensis	30
Bacillus endophyticus	30
Bacillus endoradicis	28
Bacillus endorhythmos	30
Bacillus farraginis	30
Bacillus fastidiosus	30
Bacillus fengqiuensis	30
Bacillus filamentosus	30
Bacillus firmus	30
Bacillus flavothermus	58
Bacillus flexus	29
Bacillus foraminis	32
Bacillus fordii	30
Bacillus formosus	30
Bacillus fortis	30
Bacillus freudenreichii	33
Bacillus fructosus	30
Bacillus fumarioli	47
Bacillus funiculus	30
Bacillus fusiformis	30
Bacillus gaemokensis	30
Bacillus galactophilus	32
Bacillus galactosidilyticus	30
Bacillus galliciensis	22
Bacillus gelatini	50
Bacillus gibsonii	30
Bacillus ginsengi	30
Bacillus ginsengihumi	29
Bacillus ginsengisoli	30
Bacillus globigii	30
Bacillus globisporus	13
Bacillus glucanolyticus	29
Bacillus gobiensis	30
Bacillus gordonae	30
Bacillus gottheilii	30
Bacillus graminis	30
Bacillus halmapalus	30
Bacillus haloalkaliphilus	31
Bacillus halodenitrificans	30
Bacillus halodurans	31
Bacillus halophilus	34
Bacillus halosaccharovorans	30
Bacillus halotolerans	30
Bacillus hemicellulosilyticus	34
Bacillus hemicentroti	28
Bacillus herbersteinensis	30
Bacillus horikoshii	30
Bacillus horneckiae	30
Bacillus horti	30
Bacillus humi	30
Bacillus hunanensis	28
Bacillus hwajinpoensis	30
Bacillus idriensis	31
Bacillus indicus	30
Bacillus infantis	32
Bacillus infernus	55
Bacillus insolitus	20
Bacillus iranensis	30
Bacillus isabeliae	37
Bacillus isronensis	30
Bacillus jeotgali	30
Bacillus kaustophilus	55
Bacillus kobensis	30
Bacillus kochii	30
Bacillus koreensis	30
Bacillus kribbensis	30
Bacillus krulwichiae	30
Bacillus laevolacticus	29
Bacillus larvae	34
Bacillus laterosporus	31
Bacillus lautus	30
Bacillus lehensis	28
Bacillus lentimorbus	30
Bacillus lentus	30
Bacillus leprae	37
Bacillus licheniformis	32
Bacillus ligniniphilus	30
Bacillus litoralis	32
Bacillus longisporus	30
Bacillus luciferensis	30
Bacillus luteolus	30
Bacillus macauensis	30
Bacillus macerans	31
Bacillus macquariensis	26
Bacillus macyae	30
Bacillus malacitensis	29
Bacillus malikii	30
Bacillus manliponensis	30
Bacillus mannanilyticus	32
Bacillus marinus	11
Bacillus marisflavi	30
Bacillus marismortui	35
Bacillus marmarensis	30
Bacillus maroccanus	30
Bacillus massiliensis	37
Bacillus massiliosenegalensis	37
Bacillus medusa	30
Bacillus megaterium	30
Bacillus mesonae	30
Bacillus methanolicus	45
Bacillus methylotrophicus	30
Bacillus migulanus	30
Bacillus mojavensis	31
Bacillus mucilaginosus	37
Bacillus muralis	30
Bacillus murimartini	28
Bacillus mycoides	29
Bacillus naganoensis	30
Bacillus nanhaiisediminis	30
Bacillus natto	32
Bacillus ndiopicus	30
Bacillus nealsonii	30
Bacillus neidei	30
Bacillus neizhouensis	30
Bacillus niabensis	30
Bacillus niacini	29
Bacillus niameyensis	30
Bacillus novalis	30
Bacillus oceani	30
Bacillus oceanisediminis	30
Bacillus odysseyi	30
Bacillus okhensis	36
Bacillus okuhidensis	45
Bacillus oleivorans	35
Bacillus oleronius	30
Bacillus oryzisoli	30
Bacillus oshimensis	30
Bacillus pabuli	30
Bacillus pakistanensis	30
Bacillus pallidus	57
Bacillus panaciterrae	30
Bacillus pantothenticus	30
Bacillus parabrevis	30
Bacillus paraflexus	30
Bacillus pasteurii	30
Bacillus patagoniensis	29
Bacillus peoriae	30
Bacillus persicus	28
Bacillus pervagus	37
Bacillus plakortidis	28
Bacillus pocheonensis	30
Bacillus polymyxa	31
Bacillus popilliae	28
Bacillus pseudalcaliphilus	30
Bacillus pseudofirmus	31
Bacillus pseudomegaterium	30
Bacillus pseudomycoides	30
Bacillus psychrodurans	26
Bacillus psychrophilus	18
Bacillus psychrosaccharolyticus	21
Bacillus psychrotolerans	25
Bacillus pulvifaciens	32
Bacillus pumilus	30
Bacillus purgationiresistens	30
Bacillus pycnus	30
Bacillus qingdaonensis	34
Bacillus racemilacticus	30
Bacillus radiobacter	26
Bacillus reuszeri	30
Bacillus rhizosphaerae	28
Bacillus rigui	30
Bacillus rubiinfantis	37
Bacillus ruris	30
Bacillus safensis	31
Bacillus salarius	30
Bacillus salexigens	35
Bacillus saliphilus	37
Bacillus schlegelii	61
Bacillus selenatarsenatis	40
Bacillus selenitireducens	26
Bacillus seohaeanensis	32
Bacillus shackletonii	30
Bacillus siamensis	31
Bacillus silvestris	28
Bacillus simplex	29
Bacillus siralis	30
Bacillus smithii	53
Bacillus solfatarae	50
Bacillus soli	30
Bacillus solimangrovi	30
Bacillus solisalsi	30
Bacillus sonorensis	31
Bacillus sp.	33
Bacillus sphaericus	33
Bacillus sporothermodurans	30
Bacillus stearothermophilus	54
Bacillus subterraneus	40
Bacillus subtilis	30
Bacillus taeanensis	30
Bacillus tequilensis	30
Bacillus thermantarcticus	55
Bacillus thermoaerophilus	46
Bacillus thermoamylovorans	41
Bacillus thermoantarcticus	60
Bacillus thermocatenulatus	58
Bacillus thermocloacae	57
Bacillus thermodenitrificans	58
Bacillus thermoglucosidasius	55
Bacillus thermolactis	55
Bacillus thermoleovorans	60
Bacillus thermoruber	45
Bacillus thermosphaericus	46
Bacillus thiaminolyticus	31
Bacillus thioparans	25
Bacillus thuringiensis	30
Bacillus tianmuensis	30
Bacillus tianshenii	30
Bacillus timonensis	30
Bacillus trypoxylicola	30
Bacillus tusciae	50
Bacillus uniflagellatus	30
Bacillus urumqiensis	35
Bacillus validus	30
Bacillus vallismortis	30
Bacillus vedderi	30
Bacillus velezensis	30
Bacillus vietnamensis	30
Bacillus vireti	30
Bacillus viscosus	30
Bacillus vitellinus	37
Bacillus vulcani	50
Bacillus wakoensis	32
Bacillus weihenstephanensis	30
Bacillus xerothermodurans	30
Bacillus xiamenensis	30
Bacillus xiaoxiensis	28
Bacillus zeae	30
Bacillus zhanjiangensis	28
Backusella circina	25
Backusella ctenidia	24
Backusella lamprospora	26
Bacteriolyticum stolpii	30
Bacterionema matruchotii	37
