organism	temperature
Acidithiobacillus ferriphilus	30
Acidithiobacillus ferrivorans	28
Acidithiobacillus ferrooxidans	28
Acidithiobacillus sp.	45
Acidithiobacillus thiooxidans	27
Acidobacterium capsulatum	30
Acidocella aminolytica	34
Acidocella aromatica	30
Acidocella facilis	20
Acidomonas methanolica	30
Acidothermus cellulolyticus	55
Acidovorax anthurii	29
Acidovorax avenae	27
Acidovorax caeni	28
Acidovorax cattleyae	27
Acidovorax citrulli	28
Acidovorax defluvii	30
Acidovorax delafieldii	27
Acidovorax facilis	29
Acidovorax konjaci	28
Acidovorax oryzae	26
Acidovorax radicis	30
Acidovorax soli	28
Acidovorax sp.	29
Acidovorax temperans	28
Acidovorax valerianellae	27
Acidovorax wautersii	29
Aciduliprofundum boonei	70
Acinetobacter anitratus	36
Acinetobacter baumannii	33
Acinetobacter baylyi	31
Acinetobacter beijerinckii	29
Acinetobacter bereziniae	29
Acinetobacter bohemicus	30
Acinetobacter boissieri	30
Acinetobacter bouvetii	30
Acinetobacter brisouii	29
Acinetobacter calcoaceticus	33
Acinetobacter courvalinii	30
Acinetobacter dispersus	30
Acinetobacter gandensis	37
Acinetobacter genospecies	32
Acinetobacter gerneri	30
Acinetobacter glutaminasificans	26
Acinetobacter guillouiae	30
Acinetobacter gyllenbergii	34
Acinetobacter haemolyticus	31
Acinetobacter harbinensis	28
Acinetobacter indicus	31
Acinetobacter johnsonii	29
Acinetobacter junii	30
Acinetobacter kookii	35
Acinetobacter kyonggiensis	30
Acinetobacter lwoffii	30
Acinetobacter marinus	30
Acinetobacter modestus	30
Acinetobacter nectaris	28
Acinetobacter nosocomialis	30
Acinetobacter oryzae	30
Acinetobacter pakistanensis	25
Acinetobacter parapertussis	37
Acinetobacter parvus	30
Acinetobacter pittii	29
Acinetobacter proteolyticus	30
Acinetobacter puyangensis	30
Acinetobacter radioresistens	29
Acinetobacter rudis	30
Acinetobacter schindleri	29
Acinetobacter seifertii	34
Acinetobacter seohaensis	30
Acinetobacter septicus	37
Acinetobacter soli	29
Acinetobacter sp.	32
Acinetobacter tandoii	30
Acinetobacter tjernbergiae	30
Acinetobacter towneri	30
Acinetobacter ursingii	30
Acinetobacter variabilis	30
Acinetobacter venetianus	29
Acinetobacter vivianii	30
Acinetospora crinita	15
Acramoeba dendroida	25
Acrasis helenhemmesae	20
Acrasis rosea	20
Acremoniella lutzi	24
Acremonium acutatum	24
Acremonium alcalophilum	24
Acremonium alternatum	24
Acremonium apii	24
Acremonium atrogriseum	24
Acremonium bacillisporum	24
Acremonium borodinense	25
Acremonium brachypenium	24
Acremonium breve	24
Acremonium brunnescens	24
Acremonium butyri	21
Acremonium byssoides	24
Acremonium cavaraeanum	25
Acremonium cerealis	13
Acremonium chisosum	24
Acremonium chrysogenum	24
Acremonium coenophialum	24
Acremonium crotocinigenum	24
Acremonium cucurbitacearum	25
Acremonium curvulum	24
Acremonium dichromosporum	24
Acremonium diospyri	25
Acremonium exiguum	24
Acremonium exuviarum	23
Acremonium falciforme	26
Acremonium flavum	37
Acremonium furcatum	25
Acremonium fusidioides	25
Acremonium gamsii	24
Acremonium huerfanum	24
Acremonium implicatum	24
Acremonium incoloratum	24
Acremonium kiliense	26
Acremonium lolii	21
Acremonium luzulae	26
Acremonium minutisporum	24
Acremonium murorum	24
Acremonium nepalense	24
Acremonium nigrosclerotium	24
Acremonium ochraceum	24
Acremonium persicinum	24
Acremonium polychromum	26
Acremonium pseudozeylanicum	24
Acremonium pteridii	24
Acremonium radiatum	24
Acremonium roseolum	25
Acremonium rutilum	17
Acremonium salmoneum	24
Acremonium sclerotigenum	24
Acremonium sordidulum	24
Acremonium sp.	23
Acremonium spinosum	37
Acremonium strictum	24
Acremonium stromaticum	24
Acremonium terricola	24
Acremonium thermophilum	30
Acremonium typhinum	23
Acremonium zeylanicum	24
Acremonium zonatum	45
Acrocarpospora corrugata	27
Acrocarpospora macrocephala	28
Acrocarpospora phusangensis	28
Acrocarpospora pleiomorpha	28
Acrocylindrium oryzae	24
Acrodontium crateriforme	24
Acrophialophora fusispora	25
Acrophialophora levis	29
